HEADER,FRU Name,FRU Version,LossDate,LossVersion,NumSegments
HDRDATA,CHM6,P1B3,10-15-2020,0.1.5,1
SEGHEADER,No of Records
SEGDATA,256
RECHEADER,Link ID,mdB,Souce,Destination
DATA,166,5071,BMZ_QSFP_P10_RX_1,BMZ_BCM2_Port_RX_8
DATA,167,3399,BMZ_QSFP_P10_RX_2,BMZ_BCM2_Port_RX_9
DATA,168,3037,BMZ_BCM3_Port_TX_8,BMZ_QSFP_P13_TX_1
DATA,169,3442,BMZ_BCM3_Port_TX_9,BMZ_QSFP_P13_TX_2
DATA,170,3122,BMZ_BCM3_Port_TX_10,BMZ_QSFP_P13_TX_3
DATA,171,3645,BMZ_BCM3_Port_TX_11,BMZ_QSFP_P13_TX_4
DATA,172,3327,BMZ_BCM3_Port_TX_12,BMZ_QSFP_P14_TX_1
DATA,173,3011,BMZ_BCM3_Port_TX_13,BMZ_QSFP_P14_TX_2
DATA,174,3695,BMZ_BCM3_Port_TX_14,BMZ_QSFP_P14_TX_3
DATA,175,3463,BMZ_BCM3_Port_TX_15,BMZ_QSFP_P14_TX_4
DATA,176,3160,BMZ_BCM1_Port_TX_8,BMZ_QSFP_P15_TX_1
DATA,177,4176,BMZ_BCM1_Port_TX_9,BMZ_QSFP_P15_TX_2
DATA,178,3019,BMZ_BCM1_Port_TX_10,BMZ_QSFP_P15_TX_3
DATA,179,3647,BMZ_BCM1_Port_TX_11,BMZ_QSFP_P15_TX_4
DATA,180,3071,BMZ_QSFP_P13_RX_1,BMZ_BCM3_Port_RX_8
DATA,181,3343,BMZ_QSFP_P13_RX_2,BMZ_BCM3_Port_RX_9
DATA,182,3323,BMZ_QSFP_P13_RX_3,BMZ_BCM3_Port_RX_10
DATA,183,3255,BMZ_QSFP_P13_RX_4,BMZ_BCM3_Port_RX_11
DATA,184,4368,BMZ_QSFP_P14_RX_1,BMZ_BCM3_Port_RX_12
DATA,185,5891,BMZ_QSFP_P14_RX_2,BMZ_BCM3_Port_RX_13
DATA,186,4615,BMZ_QSFP_P14_RX_3,BMZ_BCM3_Port_RX_14
DATA,187,3636,BMZ_QSFP_P14_RX_4,BMZ_BCM3_Port_RX_15
DATA,188,4050,BMZ_QSFP_P15_RX_1,BMZ_BCM1_Port_RX_8
DATA,189,3660,BMZ_QSFP_P15_RX_2,BMZ_BCM1_Port_RX_9
DATA,190,4427,BMZ_QSFP_P15_RX_3,BMZ_BCM1_Port_RX_10
DATA,191,5582,BMZ_QSFP_P15_RX_4,BMZ_BCM1_Port_RX_11
DATA,192,3126,TMZ_BCM1_Port_TX_4,TMZ_QSFPDD_P8_TX_5
DATA,193,3265,TMZ_BCM1_Port_TX_5,TMZ_QSFPDD_P8_TX_6
DATA,194,3027,TMZ_BCM1_Port_TX_6,TMZ_QSFPDD_P8_TX_7
DATA,195,3660,TMZ_BCM1_Port_TX_7,TMZ_QSFPDD_P8_TX_8
DATA,196,3354,TMZ_BCM1_Port_TX_12,TMZ_QSFPDD_P8_TX_1
DATA,197,2927,TMZ_BCM1_Port_TX_13,TMZ_QSFPDD_P8_TX_2
DATA,198,3089,TMZ_BCM1_Port_TX_14,TMZ_QSFPDD_P8_TX_3
DATA,199,4677,TMZ_BCM1_Port_TX_15,TMZ_QSFPDD_P8_TX_4
DATA,200,5027,TMZ_QSFPDD_P8_RX_5,TMZ_BCM1_Port_RX_4
DATA,201,4244,TMZ_QSFPDD_P8_RX_6,TMZ_BCM1_Port_RX_5
DATA,202,4411,TMZ_QSFPDD_P8_RX_7,TMZ_BCM1_Port_RX_6
DATA,203,3971,TMZ_QSFPDD_P8_RX_8,TMZ_BCM1_Port_RX_7
DATA,204,4153,TMZ_QSFPDD_P8_RX_1,TMZ_BCM1_Port_RX_12
DATA,205,3699,TMZ_QSFPDD_P8_RX_2,TMZ_BCM1_Port_RX_13
DATA,206,4243,TMZ_QSFPDD_P8_RX_3,TMZ_BCM1_Port_RX_14
DATA,207,3338,TMZ_QSFPDD_P8_RX_4,TMZ_BCM1_Port_RX_15
DATA,208,3987,TMZ_BCM2_Port_TX_5,TMZ_QSFPDD_P1_TX_6
DATA,209,3347,TMZ_BCM2_Port_TX_4,TMZ_QSFPDD_P1_TX_5
DATA,210,3371,TMZ_BCM2_Port_TX_7,TMZ_QSFPDD_P1_TX_8
DATA,211,2949,TMZ_BCM2_Port_TX_6,TMZ_QSFPDD_P1_TX_7
DATA,212,4853,TMZ_BCM2_Port_TX_13,TMZ_QSFPDD_P1_TX_2
DATA,213,4032,TMZ_BCM2_Port_TX_12,TMZ_QSFPDD_P1_TX_1
DATA,214,5513,TMZ_BCM2_Port_TX_15,TMZ_QSFPDD_P1_TX_4
DATA,215,4373,TMZ_BCM2_Port_TX_14,TMZ_QSFPDD_P1_TX_3
DATA,216,3339,TMZ_QSFPDD_P1_RX_5,TMZ_BCM2_Port_RX_4
DATA,217,3368,TMZ_QSFPDD_P1_RX_6,TMZ_BCM2_Port_RX_5
DATA,218,3790,TMZ_QSFPDD_P1_RX_8,TMZ_BCM2_Port_RX_7
DATA,219,3653,TMZ_QSFPDD_P1_RX_7,TMZ_BCM2_Port_RX_6
DATA,220,5997,TMZ_QSFPDD_P1_RX_1,TMZ_BCM2_Port_RX_12
DATA,221,4108,TMZ_QSFPDD_P1_RX_2,TMZ_BCM2_Port_RX_13
DATA,222,4918,TMZ_QSFPDD_P1_RX_3,TMZ_BCM2_Port_RX_14
DATA,223,4922,TMZ_QSFPDD_P1_RX_4,TMZ_BCM2_Port_RX_15
DATA,224,3987,BMZ_BCM2_Port_TX_5,BMZ_QSFPDD_P9_TX_6
